# Narrative pages the MII KDS module template OWNS.
#
# Read by verify-migration.py check C5 to answer the reverse page question: a
# target page with no source counterpart is a FINDING unless the template put it
# there. Without this list every one of the template's pages would be reported
# as content that appeared from nowhere, and the check would be unusable.
#
# Measured, not assumed: `input/pagecontent/` of
# forschungsgruppe-digital-health/mii-kds-module-template at tag v0.10.3, read
# from the tag's tree on 2026-08-15. (The previous measurement, tag v0.6.0 on
# 2026-08-07, predates the TF-KDS restructure that split the combined pages —
# profiles-and-extensions, search-parameters-and-operations, terminology — into
# per-artifact-type pages, retired the Conformance-cluster pages and
# datasets-and-descriptions in favour of link-only menu entries, and introduced
# the optional (0..1) page decisions.)
#
# `role` is what a reviewer needs to know when the page turns up empty — or
# absent — in a migrated module:
#   scaffold  the template ships it and every module is expected to keep it
#   optional  the template ships it marked OPTIONAL (0..1) with a decision
#             banner; a migration must DECIDE it — keep it (delete the banner
#             and OPTIONAL-PAGE marker in BOTH languages) or remove it per the
#             template's docs/optional-pages.md. Convention check M9 fails a
#             module release while undecided, so an ABSENT optional page is
#             legitimate and never a finding by itself.
#   demo      the template ships it to be DELETED during migration (spec step 3);
#             its presence in a migrated module is itself the finding
#             (convention check M8 also gates it at module release).
#
# Update this file when the template's page set changes, and record the tag you
# read it from. A stale list produces confident, wrong findings in both
# directions.
#
# page	role	template_tag
capability-statements	scaffold	v0.10.3
changes	scaffold	v0.10.3
code-systems	optional	v0.10.3
downloads	scaffold	v0.10.3
examples	scaffold	v0.10.3
extensions	optional	v0.10.3
guidance	scaffold	v0.10.3
implementer-guidance	scaffold	v0.10.3
index	scaffold	v0.10.3
logical-models	scaffold	v0.10.3
metadata	optional	v0.10.3
operations	optional	v0.10.3
profiles	scaffold	v0.10.3
rendering-artifacts	demo	v0.10.3
researcher-guidance	optional	v0.10.3
search-parameters	optional	v0.10.3
security-and-privacy	scaffold	v0.10.3
translationinfo	scaffold	v0.10.3
uml-diagrams	scaffold	v0.10.3
value-sets	optional	v0.10.3
version-history	scaffold	v0.10.3
# ImplementationGuide-mii-ig-<slug>: template-owned intro of the generated
# IG-resource page from module-template v0.11.0; slug-bearing name, so the
# verifier matches it by prefix in code rather than by a row here.
